,poid,step,source,target,memo,amount,free,locked,locked_poid
0,bffd82f3-5ed7-45ca-97b6-bfe724ffd71d,1,yfinance:INR/free,yfinance:INR/locked,LOCK (LOCK FOR ORDER),10000.00 INR,90000.00 INR,10000.00 INR,10000.00 INR
1,bffd82f3-5ed7-45ca-97b6-bfe724ffd71d,1,yfinance:INR/locked,yfinance,WITHDRAWAL (COMMISSION),30.00 INR,90000.00 INR,9970.00 INR,9970.00 INR
2,bffd82f3-5ed7-45ca-97b6-bfe724ffd71d,1,yfinance:INR/locked,yfinance,WITHDRAWAL (FILL ORDER),9970.00 INR,90000.00 INR,0.00 INR,0.00 INR
3,bffd82f3-5ed7-45ca-97b6-bfe724ffd71d,1,yfinance,yfinance:RELIANCE/locked,DEPOSIT (TRADED 9970.00 INR yfinance:INR/RELIANCE @ 2218.75),4.49352113 RELIANCE,0.00000000 RELIANCE,4.49352113 RELIANCE,4.49352113 RELIANCE
4,bffd82f3-5ed7-45ca-97b6-bfe724ffd71d,1,yfinance:INR/locked,yfinance:INR/free,UNLOCK INR (COMPLETED),0.00 INR,90000.00 INR,0.00 INR,0.00 INR
5,bffd82f3-5ed7-45ca-97b6-bfe724ffd71d,1,yfinance:RELIANCE/locked,yfinance:RELIANCE/free,UNLOCK RELIANCE (COMPLETED),4.49352113 RELIANCE,4.49352113 RELIANCE,0.00000000 RELIANCE,0.00000000 RELIANCE
6,16e36adc-496c-490f-943a-9a27973248d4,4,yfinance:INR/free,yfinance:INR/locked,LOCK (LOCK FOR ORDER),45000.00 INR,45000.00 INR,45000.00 INR,45000.00 INR
7,16e36adc-496c-490f-943a-9a27973248d4,4,yfinance:INR/locked,yfinance,WITHDRAWAL (COMMISSION),135.00 INR,45000.00 INR,44865.00 INR,44865.00 INR
8,16e36adc-496c-490f-943a-9a27973248d4,4,yfinance:INR/locked,yfinance,WITHDRAWAL (FILL ORDER),44865.00 INR,45000.00 INR,0.00 INR,0.00 INR
9,16e36adc-496c-490f-943a-9a27973248d4,4,yfinance,yfinance:RELIANCE/locked,DEPOSIT (TRADED 44865.00 INR yfinance:INR/RELIANCE @ 2230.43),20.11495541 RELIANCE,4.49352113 RELIANCE,20.11495541 RELIANCE,20.11495541 RELIANCE
10,16e36adc-496c-490f-943a-9a27973248d4,4,yfinance:INR/locked,yfinance:INR/free,UNLOCK INR (COMPLETED),0.00 INR,45000.00 INR,0.00 INR,0.00 INR
11,16e36adc-496c-490f-943a-9a27973248d4,4,yfinance:RELIANCE/locked,yfinance:RELIANCE/free,UNLOCK RELIANCE (COMPLETED),20.11495541 RELIANCE,24.60847654 RELIANCE,0.00000000 RELIANCE,0.00000000 RELIANCE
12,3e00d58f-fd10-4f10-9476-65fdd9acf0b6,6,yfinance:INR/free,yfinance:INR/locked,LOCK (LOCK FOR ORDER),9000.00 INR,36000.00 INR,9000.00 INR,9000.00 INR
13,3e00d58f-fd10-4f10-9476-65fdd9acf0b6,6,yfinance:INR/locked,yfinance,WITHDRAWAL (COMMISSION),27.00 INR,36000.00 INR,8973.00 INR,8973.00 INR
14,3e00d58f-fd10-4f10-9476-65fdd9acf0b6,6,yfinance:INR/locked,yfinance,WITHDRAWAL (FILL ORDER),8973.00 INR,36000.00 INR,0.00 INR,0.00 INR
15,3e00d58f-fd10-4f10-9476-65fdd9acf0b6,6,yfinance,yfinance:RELIANCE/locked,DEPOSIT (TRADED 8973.00 INR yfinance:INR/RELIANCE @ 2250.27),3.98752150 RELIANCE,24.60847654 RELIANCE,3.98752150 RELIANCE,3.98752150 RELIANCE
16,3e00d58f-fd10-4f10-9476-65fdd9acf0b6,6,yfinance:INR/locked,yfinance:INR/free,UNLOCK INR (COMPLETED),0.00 INR,36000.00 INR,0.00 INR,0.00 INR
17,3e00d58f-fd10-4f10-9476-65fdd9acf0b6,6,yfinance:RELIANCE/locked,yfinance:RELIANCE/free,UNLOCK RELIANCE (COMPLETED),3.98752150 RELIANCE,28.59599804 RELIANCE,0.00000000 RELIANCE,0.00000000 RELIANCE
18,32d2571c-e5f0-4186-b16a-6928c8d1c1ca,11,yfinance:INR/free,yfinance:INR/locked,LOCK (LOCK FOR ORDER),36000.00 INR,0.00 INR,36000.00 INR,36000.00 INR
19,32d2571c-e5f0-4186-b16a-6928c8d1c1ca,11,yfinance:INR/locked,yfinance,WITHDRAWAL (COMMISSION),108.00 INR,0.00 INR,35892.00 INR,35892.00 INR
20,32d2571c-e5f0-4186-b16a-6928c8d1c1ca,11,yfinance:INR/locked,yfinance,WITHDRAWAL (FILL ORDER),35892.00 INR,0.00 INR,0.00 INR,0.00 INR
21,32d2571c-e5f0-4186-b16a-6928c8d1c1ca,11,yfinance,yfinance:RELIANCE/locked,DEPOSIT (TRADED 35892.00 INR yfinance:INR/RELIANCE @ 2355.73),15.23604148 RELIANCE,28.59599804 RELIANCE,15.23604148 RELIANCE,15.23604148 RELIANCE
22,32d2571c-e5f0-4186-b16a-6928c8d1c1ca,11,yfinance:INR/locked,yfinance:INR/free,UNLOCK INR (COMPLETED),0.00 INR,0.00 INR,0.00 INR,0.00 INR
23,32d2571c-e5f0-4186-b16a-6928c8d1c1ca,11,yfinance:RELIANCE/locked,yfinance:RELIANCE/free,UNLOCK RELIANCE (COMPLETED),15.23604148 RELIANCE,43.83203952 RELIANCE,0.00000000 RELIANCE,0.00000000 RELIANCE
