,poid,step,source,target,memo,amount,free,locked,locked_poid
0,d6645fb2-1b61-45a7-8cd0-b492ff5c199e,1,yfinance:INR/free,yfinance:INR/locked,LOCK (LOCK FOR ORDER),20000.00 INR,80000.00 INR,20000.00 INR,20000.00 INR
1,d6645fb2-1b61-45a7-8cd0-b492ff5c199e,1,yfinance:INR/locked,yfinance,WITHDRAWAL (COMMISSION),60.00 INR,80000.00 INR,19940.00 INR,19940.00 INR
2,d6645fb2-1b61-45a7-8cd0-b492ff5c199e,1,yfinance:INR/locked,yfinance,WITHDRAWAL (FILL ORDER),19940.00 INR,80000.00 INR,0.00 INR,0.00 INR
3,d6645fb2-1b61-45a7-8cd0-b492ff5c199e,1,yfinance,yfinance:RELIANCE/locked,DEPOSIT (TRADED 19940.00 INR yfinance:INR/RELIANCE @ 2218.75),8.98704225 RELIANCE,0.00000000 RELIANCE,8.98704225 RELIANCE,8.98704225 RELIANCE
4,d6645fb2-1b61-45a7-8cd0-b492ff5c199e,1,yfinance:INR/locked,yfinance:INR/free,UNLOCK INR (COMPLETED),0.00 INR,80000.00 INR,0.00 INR,0.00 INR
5,d6645fb2-1b61-45a7-8cd0-b492ff5c199e,1,yfinance:RELIANCE/locked,yfinance:RELIANCE/free,UNLOCK RELIANCE (COMPLETED),8.98704225 RELIANCE,8.98704225 RELIANCE,0.00000000 RELIANCE,0.00000000 RELIANCE
6,760d880f-cb99-4f6f-a76b-2da90fa9565e,4,yfinance:INR/free,yfinance:INR/locked,LOCK (LOCK FOR ORDER),32000.00 INR,48000.00 INR,32000.00 INR,32000.00 INR
7,760d880f-cb99-4f6f-a76b-2da90fa9565e,4,yfinance:INR/locked,yfinance,WITHDRAWAL (COMMISSION),96.00 INR,48000.00 INR,31904.00 INR,31904.00 INR
8,760d880f-cb99-4f6f-a76b-2da90fa9565e,4,yfinance:INR/locked,yfinance,WITHDRAWAL (FILL ORDER),31904.00 INR,48000.00 INR,0.00 INR,0.00 INR
9,760d880f-cb99-4f6f-a76b-2da90fa9565e,4,yfinance,yfinance:RELIANCE/locked,DEPOSIT (TRADED 31904.00 INR yfinance:INR/RELIANCE @ 2230.43),14.30396829 RELIANCE,8.98704225 RELIANCE,14.30396829 RELIANCE,14.30396829 RELIANCE
10,760d880f-cb99-4f6f-a76b-2da90fa9565e,4,yfinance:INR/locked,yfinance:INR/free,UNLOCK INR (COMPLETED),0.00 INR,48000.00 INR,0.00 INR,0.00 INR
11,760d880f-cb99-4f6f-a76b-2da90fa9565e,4,yfinance:RELIANCE/locked,yfinance:RELIANCE/free,UNLOCK RELIANCE (COMPLETED),14.30396829 RELIANCE,23.29101054 RELIANCE,0.00000000 RELIANCE,0.00000000 RELIANCE
12,bca38a28-be3c-4a02-a95d-a4bdc822f2c4,5,yfinance:INR/free,yfinance:INR/locked,LOCK (LOCK FOR ORDER),43200.00 INR,4800.00 INR,43200.00 INR,43200.00 INR
13,bca38a28-be3c-4a02-a95d-a4bdc822f2c4,5,yfinance:INR/locked,yfinance,WITHDRAWAL (COMMISSION),129.60 INR,4800.00 INR,43070.40 INR,43070.40 INR
14,bca38a28-be3c-4a02-a95d-a4bdc822f2c4,5,yfinance:INR/locked,yfinance,WITHDRAWAL (FILL ORDER),43070.40 INR,4800.00 INR,0.00 INR,0.00 INR
15,bca38a28-be3c-4a02-a95d-a4bdc822f2c4,5,yfinance,yfinance:RELIANCE/locked,DEPOSIT (TRADED 43070.40 INR yfinance:INR/RELIANCE @ 2248.43),19.15576647 RELIANCE,23.29101054 RELIANCE,19.15576647 RELIANCE,19.15576647 RELIANCE
16,bca38a28-be3c-4a02-a95d-a4bdc822f2c4,5,yfinance:INR/locked,yfinance:INR/free,UNLOCK INR (COMPLETED),0.00 INR,4800.00 INR,0.00 INR,0.00 INR
17,bca38a28-be3c-4a02-a95d-a4bdc822f2c4,5,yfinance:RELIANCE/locked,yfinance:RELIANCE/free,UNLOCK RELIANCE (COMPLETED),19.15576647 RELIANCE,42.44677701 RELIANCE,0.00000000 RELIANCE,0.00000000 RELIANCE
18,89a84284-0324-47e9-89a6-6d8a3814e3c2,7,yfinance:INR/free,yfinance:INR/locked,LOCK (LOCK FOR ORDER),4800.00 INR,0.00 INR,4800.00 INR,4800.00 INR
19,89a84284-0324-47e9-89a6-6d8a3814e3c2,7,yfinance:INR/locked,yfinance,WITHDRAWAL (COMMISSION),14.40 INR,0.00 INR,4785.60 INR,4785.60 INR
20,89a84284-0324-47e9-89a6-6d8a3814e3c2,7,yfinance:INR/locked,yfinance,WITHDRAWAL (FILL ORDER),4785.60 INR,0.00 INR,0.00 INR,0.00 INR
21,89a84284-0324-47e9-89a6-6d8a3814e3c2,7,yfinance,yfinance:RELIANCE/locked,DEPOSIT (TRADED 4785.60 INR yfinance:INR/RELIANCE @ 2266.47),2.11147732 RELIANCE,42.44677701 RELIANCE,2.11147732 RELIANCE,2.11147732 RELIANCE
22,89a84284-0324-47e9-89a6-6d8a3814e3c2,7,yfinance:INR/locked,yfinance:INR/free,UNLOCK INR (COMPLETED),0.00 INR,0.00 INR,0.00 INR,0.00 INR
23,89a84284-0324-47e9-89a6-6d8a3814e3c2,7,yfinance:RELIANCE/locked,yfinance:RELIANCE/free,UNLOCK RELIANCE (COMPLETED),2.11147732 RELIANCE,44.55825433 RELIANCE,0.00000000 RELIANCE,0.00000000 RELIANCE
